  Year 1  ,  Year 2  ,  Year 3  ,  Year 4  ,  Year 5  
140508,190098,217,199654,102785
192522,268117,33529,200789,60177
111399,323495,318599,199979,151428
307477,169335,70931,199561,0
145464,286644,8264,200143,0
253734,254741,445270,200406,36905
76664,276190,442774,199462,140189
419843,264207,212891,199603,0
343322,206315,290682,200491,195445
198433,194825,285675,199970,0
216247,217924,498295,199967,60696
14561,295862,114450,200166,46471
335724,192679,69851,200115,0
423702,165679,461344,199871,102773
206184,238297,408431,200477,0
228786,181631,338326,199847,218118
222841,156335,255358,199933,0
165565,165601,3793,199394,0
330328,307206,203121,200015,0
286789,173869,202206,200028,132243
193724,250555,173639,199635,136822
93149,339842,499023,199870,67531
207647,186572,495660,200326,138533
46352,320086,30464,199596,218767
173441,338314,447605,200897,59492
230111,207630,95207,199797,49039
0,346444,47578,199560,67654
108086,226505,447923,199783,0
296910,159855,476416,199774,11735
125675,241063,5182,199590,42132
141236,257611,497314,199842,0
161427,289720,43326,199666,169609
182825,264831,55608,199375,78623
91727,333681,207351,199702,132547
230625,285247,490795,200021,167277
272685,345917,45462,200823,189542
140871,219516,489763,199882,5333
127736,159064,139019,200037,5527
131326,214075,88674,200047,0
232337,215766,361950,199874,12186
170075,206518,269441,199594,129066
165018,340472,2034,199884,158762
176567,195753,250382,200105,0
364491,242450,70530,199783,97125
283295,213304,421157,200425,0
54226,160271,499285,200601,79695
371580,322326,617,199993,120229
343771,189146,475408,199948,128745
140645,284662,494211,199653,23732
266976,282061,481512,199431,76414
634,348437,101205,199808,178232
89974,259413,241,199986,176021
84552,158995,168644,200081,144323
165276,159375,492067,200186,118485
385800,226239,488782,199212,0
249386,300173,456483,200434,122822
252601,332527,496254,200659,94255
222866,254051,359474,200018,21445
216359,181027,483447,199192,0
57488,193872,83655,200431,0
195329,288807,187434,199905,59841
101567,323229,16134,200397,162975
333492,298117,153991,199806,132849
367974,297097,22829,200035,0
126306,214151,317768,200247,0
102040,312093,16690,200189,73548
258534,269534,498351,200639,0
201525,247603,422434,199484,269184
14903,280517,47448,200003,241747
243226,265361,59067,200041,61929
198264,290431,99659,199648,172364
301680,345826,468272,199892,16259
192282,175525,35907,200178,74410
200066,164678,489927,199888,127532
20702,164229,486129,200114,183885
242564,257560,448595,199821,74650
245280,330065,4774,199599,0
195728,287260,219222,200532,0
218362,222391,54669,200236,11537
227517,204723,270764,199660,108402
187025,303861,51825,200629,222558
106586,318813,9303,200113,0
50069,281026,449365,199599,57161
272225,176247,497867,199871,107029
302185,180035,5042,199749,0
71751,160707,57036,199670,57001
218166,230552,23343,200455,58671
211114,292656,97153,200364,40092
326261,177325,95627,200160,164533
252596,181798,458660,200449,7416
230191,187715,356790,199042,93596
192242,294671,311642,199885,0
310531,285857,166188,200184,136895
237561,270469,115291,199807,61051
216529,261005,86027,200510,0
250277,220901,481138,199800,2573
251051,248136,380400,200100,124209
219008,342254,144449,200241,0
